,frontend_adservice,checkoutservice_cartservice,frontend_cartservice,frontend_checkoutservice,checkoutservice_currencyservice,frontend_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_shippingservice,frontend_shippingservice,carts_carts-db,catalogue_catalogue-db,orders_orders-db,queue-master_rabbitmq,shipping_rabbitmq,cartservice_redis-cart,user_user-db
0,2.597087378640777,3.0000000000000004,3.0985915492957745,40.00000000000001,2.5,2.596685082872928,2.5,2.5,2.5,2.5568181818181817,2.5555555555555554,3.7499999999999996,2.5,2.5,0.021266666666666666,0.0,0.021266666666666666,0.0,0.0005333333333333334,0.2124,0.003533333333333333
1,2.5543478260869565,3.0000000000000004,2.8383458646616537,21.25,2.5,2.5130662020905925,2.5,2.5,2.5,2.503246753246753,2.5,3.0526315789473686,2.5,2.565789473684211,0.0319,0.0,0.0319,0.0,0.0002666666666666667,0.30223333333333335,0.010366666666666666
2,2.5543478260869565,3.0000000000000004,2.8383458646616537,21.25,2.5,2.5130662020905925,2.5,2.5,2.5,2.503246753246753,2.5,3.0526315789473686,2.5,2.565789473684211,0.035444444444444445,0.0,0.035444444444444445,0.0,0.00017777777777777779,0.3321777777777778,0.012644444444444444
3,2.5543478260869565,3.0000000000000004,2.8383458646616537,21.25,2.5,2.5130662020905925,2.5,2.5,2.5,2.503246753246753,2.5,3.0526315789473686,2.5,2.565789473684211,0.03721666666666667,0.0,0.03721666666666667,0.0,0.00013333333333333334,0.34715,0.013783333333333333
4,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.03402666666666666,0.0,0.03402666666666666,0.0,0.00010666666666666667,0.3206933333333334,0.011733333333333333
5,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.0319,0.0,0.0319,0.0,8.888888888888889e-05,0.3030555555555556,0.010366666666666666
6,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.030380952380952377,0.0,0.030380952380952377,0.0,7.61904761904762e-05,0.2904571428571429,0.00939047619047619
7,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.029241666666666662,0.0,0.029241666666666662,0.0,6.666666666666667e-05,0.28100833333333336,0.008658333333333334
8,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.028355555555555554,0.0,0.028355555555555554,0.0,5.925925925925926e-05,0.27365925925925927,0.008088888888888889
9,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.027646666666666663,0.0,0.027646666666666663,0.0,5.333333333333333e-05,0.26778,0.007633333333333334
10,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.027066666666666662,0.0,0.027066666666666662,0.0,4.848484848484849e-05,0.26296969696969696,0.007260606060606061
11,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.02658333333333333,0.0,0.02658333333333333,0.0,4.4444444444444447e-05,0.2589611111111111,0.0069500000000000004
12,2.5225225225225225,2.5,2.5,22.5,2.9166666666666665,2.5047892720306515,2.5,2.5,2.5,2.5064683053040104,2.5,2.7884615384615388,2.5,2.5,0.02658333333333333,0.0,0.02658333333333333,0.0,0.0,0.2591666666666666,0.0069500000000000004
